DistName,RegnName,ACT-Composite,ACT-Part_Rate,Year,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA
ALEDO ISD,Fort Worth,24.2,60,2015,310,728,61,2.3,103,420,25,1154,66,517205
ALEDO ISD,Fort Worth,23.7,57,2016,269,648,61,2.4,108,370,29,1140,67,507627
ALEDO ISD,Fort Worth,24.3,56,2017,288,669,56,2.3,101,402,25,1153,69,537553
ALIEF ISD,Houston,18.2,19,2011,1410,2791,22,2.0,492,2558,19,982,63,267266
ALIEF ISD,Houston,18.2,21,2012,1564,3182,19,2.0,455,2425,19,957,59,249968
ALIEF ISD,Houston,18.1,23,2013,1232,2164,28,1.8,461,2566,18,953,60,248959
ALIEF ISD,Houston,18.2,25,2014,1113,2132,33,1.9,504,2600,19,954,64,249467
ALIEF ISD,Houston,18.8,20,2015,1128,2122,28,1.9,503,2560,20,961,64,258678
ALIEF ISD,Houston,18.4,15,2016,1174,2425,29,2.1,453,2639,17,880,95,283387
ALIEF ISD,Houston,19,13,2017,1165,2444,29,2.1,516,2702,19,920,93,319295
ALLEN ISD,Richardson,24.1,49,2011,837,1796,60,2.1,221,1218,18,1155,76,390167
ALLEN ISD,Richardson,24.1,45,2012,864,2005,66,2.3,271,1215,22,1147,75,387115
ALLEN ISD,Richardson,24.4,42,2013,763,1783,72,2.3,257,1300,20,1166,70,388622
ALLEN ISD,Richardson,24.1,46,2014,850,2113,80,2.5,295,1407,21,1159,68,397446
ALLEN ISD,Richardson,24.3,53,2015,941,2317.5,82,2.5,357,1365,26,1177,68,415021
ALLEN ISD,Richardson,24.4,49,2016,1014,2407.5,79,2.4,351,1519,23,1153,68,445482
ALLEN ISD,Richardson,25.3,46,2017,1064,2985,78,2.8,390,1533,25,1130,94,497425
ALVIN ISD,Houston,20.3,17,2011,399,943,40,2.4,139,920,15,1024,54,216299
ALVIN ISD,Houston,20.4,19,2012,424,970,49,2.3,164,1021,16,1020,51,213786
ALVIN ISD,Houston,20.6,18,2013,398,848,48,2.1,188,1056,18,1043,46,213476
ALVIN ISD,Houston,20.2,18,2014,447,985,50,2.2,195,1022,19,1033,50,212809
ALVIN ISD,Houston,20.8,19,2015,578,1359,36,2.4,230,1194,19,1029,47,224168
ALVIN ISD,Houston,20,18,2016,577,1474,44,2.6,254,1317,19,1014,50,222517
ALVIN ISD,Houston,20.6,14,2017,656,1673,50,2.6,251,1330,19,978,76,229859
ANGLETON ISD,Houston,21.3,9,2011,101,198,39,2.0,88,463,19,1041,51,396881
ANGLETON ISD,Houston,21.2,6,2012,95,164,36,1.7,54,404,13,1028,40,359004
ANGLETON ISD,Houston,19.9,12,2013,116,218,34,1.9,65,473,14,1012,39,358284
ANGLETON ISD,Houston,18.6,11,2014,154,289,36,1.9,70,417,17,1035,43,360331
ANGLETON ISD,Houston,20.3,12,2015,190,341,14,1.8,70,412,17,1011,52,337541
ANGLETON ISD,Houston,19.7,12,2016,215,413,20,1.9,71,433,16,999,45,348473
ANGLETON ISD,Houston,21.3,10,2017,235,483,22,2.1,54,420,13,1048,38,378109
ARGYLE ISD,Fort Worth,24.6,50,2011,94,215,73,2.3,51,153,33,1157,84,598246
ARGYLE ISD,Fort Worth,23.6,64,2012,89,202,62,2.3,68,162,42,1138,80,599216
ARGYLE ISD,Fort Worth,23.3,62,2013,83,190,70,2.3,49,150,33,1144,71,607796
ARGYLE ISD,Fort Worth,24.5,73,2014,116,245,73,2.1,55,176,31,1158,81,574613
ARGYLE ISD,Fort Worth,24.5,63,2015,67,138,75,2.1,63,176,36,1178,73,553208
ARGYLE ISD,Fort Worth,24,82,2016,46,102,80,2.2,52,167,31,1158,64,544808
ARGYLE ISD,Fort Worth,23.7,74,2017,37,68,74,1.8,49,183,27,1162,64,567092
ARLINGTON ISD,Fort Worth,21,25,2011,1229,2662,43,2.2,807,3611,22,1065,65,338766
ARLINGTON ISD,Fort Worth,20.9,23,2012,1242,2584,43,2.1,749,3616,21,1065,61,314773
ARLINGTON ISD,Fort Worth,20.8,23,2013,1320,2812,44,2.1,790,3760,21,1051,58,316340
ARLINGTON ISD,Fort Worth,20.7,29,2014,1493,3126,46,2.1,790,3655,22,1044,61,325124
ARLINGTON ISD,Fort Worth,20.1,27,2015,1796,3773,37,2.1,800,3762,21,1021,64,341135
ARLINGTON ISD,Fort Worth,20.7,28,2016,2053,4623,35,2.3,829,3944,21,1012,62,351491
ARLINGTON ISD,Fort Worth,20.8,26,2017,2476,5773,34,2.3,895,4075,22,1026,61,368110
AUSTIN ISD,Austin,21.3,33,2011,3188,6933,49,2.2,855,4174,20,1091,73,793908
AUSTIN ISD,Austin,21.4,34,2012,2980,6346,54,2.1,873,4259,20,1093,65,751327
AUSTIN ISD,Austin,21.5,35,2013,3004,6244,53,2.1,858,4236,20,1104,64,768123
AUSTIN ISD,Austin,21.9,36,2014,2767.5,6749,55,2.4,898,4155,22,1103,68,805850
AUSTIN ISD,Austin,22.2,38,2015,3060,7699,57,2.5,889,4254,21,1102,66,867833
AUSTIN ISD,Austin,22.5,38,2016,3321,7676,59,2.3,922,4386,21,1093,68,969782
AUSTIN ISD,Austin,22.5,36,2017,3350,7909,61,2.4,866,4352,20,1098,65,1146668
AZLE ISD,Fort Worth,22.3,21,2011,73,129,47,1.8,55,342,16,1062,61,432477
AZLE ISD,Fort Worth,21.7,23,2012,82,132,40,1.6,46,346,13,1027,50,425292
AZLE ISD,Fort Worth,21.4,28,2013,94,164,34,1.7,69,388,18,1032,55,413243
AZLE ISD,Fort Worth,22,29,2014,118,211,36,1.8,64,385,17,1048,50,391884
AZLE ISD,Fort Worth,21.3,24,2015,131,228,34,1.7,55,403,14,1042,47,385407
AZLE ISD,Fort Worth,20.5,25,2016,122,221,38,1.8,54,453,12,1038,45,375480
AZLE ISD,Fort Worth,20.8,21,2017,108,194,32,1.8,45,416,11,1057,39,392810
BANDERA ISD,San Antonio,23.1,51,2011,124,263,19,2.1,41,192,21,1084,71,533528
BANDERA ISD,San Antonio,20.8,40,2012,54,87,37,1.6,36,172,21,1038,57,578911
BANDERA ISD,San Antonio,20.9,52,2013,47,85,34,1.8,29,168,17,1091,63,599874
BANDERA ISD,San Antonio,22,45,2014,30,52,50,1.7,40,162,25,1078,56,624854
BANDERA ISD,San Antonio,22,47,2015,44,70,57,1.6,28,149,19,1097,57,659994
BANDERA ISD,San Antonio,22.1,42,2016,39,65,42,1.7,38,176,22,1083,55,664723
BANDERA ISD,San Antonio,21.2,39,2017,28,71,58,2.5,29,149,19,1065,55,670540
BARBERS HILL ISD,Houston,22.1,18,2011,86,142,61,1.7,63,282,22,1101,60,751007
BARBERS HILL ISD,Houston,21.8,23,2012,70,103,51,1.5,57,270,21,1094,55,697273
BARBERS HILL ISD,Houston,21.3,22,2013,91,158,49,1.7,52,289,18,1063,61,789780
BARBERS HILL ISD,Houston,21.7,26,2014,156,269,55,1.7,65,332,20,1081,54,905494
BARBERS HILL ISD,Houston,22.8,20,2015,169,307,54,1.8,88,319,28,1109,53,883464
BARBERS HILL ISD,Houston,22.5,20,2016,191,382,62,2.0,56,315,18,1088,52,976033
BARBERS HILL ISD,Houston,20.6,92,2017,218,478,64,2.2,92,344,27,1094,40,1082616
BASTROP ISD,Austin,19.4,15,2011,247,506,34,2.0,112,525,21,1025,56,308882
BASTROP ISD,Austin,20,15,2012,112,221,59,2.0,89,515,17,1023,53,316748
BASTROP ISD,Austin,20.1,12,2013,126,263,51,2.1,94,617,15,1018,42,318564
BASTROP ISD,Austin,20,18,2014,135,270,44,2.0,97,569,17,1013,50,306454
BASTROP ISD,Austin,19,17,2015,272,617,22,2.3,92,578,16,1008,46,313113
BASTROP ISD,Austin,18.7,25,2016,347,758,27,2.2,129,721,18,1007,49,312909
BASTROP ISD,Austin,19.3,21,2017,353,818,32,2.3,132,679,19,1010,46,318106
BIRDVILLE ISD,Fort Worth,22,30,2011,909,2219,40,2.4,213,1446,15,1081,53,337577
BIRDVILLE ISD,Fort Worth,21.8,31,2012,944,2147,48,2.3,203,1353,15,1067,48,309498
BIRDVILLE ISD,Fort Worth,21.4,34,2013,940,2154,44,2.3,269,1471,18,1066,46,305372
BIRDVILLE ISD,Fort Worth,21.4,35,2014,971,2258,49,2.3,264,1480,18,1076,44,311982
BIRDVILLE ISD,Fort Worth,21.5,35,2015,1082,2730,45,2.5,262,1552,17,1060,45,317725
BIRDVILLE ISD,Fort Worth,21.2,36,2016,1054,2602,44,2.5,254,1518,17,1055,48,322629
BIRDVILLE ISD,Fort Worth,21.4,36,2017,1069,2583,44,2.4,253,1484,17,1073,52,338349
BOERNE ISD,San Antonio,24.4,38,2011,427,1183,61,2.8,181,506,36,1152,84,692549
BOERNE ISD,San Antonio,24.4,49,2012,445,1139,67,2.6,144,525,27,1151,73,689003
BOERNE ISD,San Antonio,25,45,2013,441,1203,68,2.7,175,569,31,1155,76,674863
BOERNE ISD,San Antonio,24.3,46,2014,453,1155,66,2.5,179,558,32,1155,74,687364
BOERNE ISD,San Antonio,23.6,49,2015,500,1323,57,2.6,155,557,28,1125,74,693152
BOERNE ISD,San Antonio,23.9,53,2016,557,1465,64,2.6,197,580,34,1132,78,683039
BOERNE ISD,San Antonio,24,54,2017,607,1579,62,2.6,206,654,31,1141,71,705406
BRAZOSPORT ISD,Houston,22.1,17,2011,240,508,58,2.1,129,874,15,1082,48,588257
BRAZOSPORT ISD,Houston,22.2,21,2012,211,434,66,2.1,121,785,15,1091,40,553129
BRAZOSPORT ISD,Houston,21.7,24,2013,191,356,65,1.9,126,759,17,1097,43,544943
BRAZOSPORT ISD,Houston,22,19,2014,186,382,69,2.1,130,736,18,1063,44,553287
BRAZOSPORT ISD,Houston,22.5,17,2015,301,603,40,2.0,119,793,15,1062,41,586183
BRAZOSPORT ISD,Houston,19.6,57,2016,308,616,43,2.0,126,802,16,1069,32,588141
BRAZOSPORT ISD,Houston,19.9,58,2017,302,693,43,2.3,91,807,11,1078,23,689681
BURLESON ISD,Fort Worth,22.3,14,2011,174,366,56,2.1,100,636,16,1068,53,379208
BURLESON ISD,Fort Worth,21.2,22,2012,281,579,48,2.1,93,607,15,1070,52,351767
BURLESON ISD,Fort Worth,21.4,20,2013,386,844,35,2.2,99,683,14,1050,55,338552
BURLESON ISD,Fort Worth,21.7,23,2014,491,1083,39,2.2,138,725,19,1048,57,330044
BURLESON ISD,Fort Worth,22.1,20,2015,535,1188,36,2.2,114,752,15,1056,54,314727
BURLESON ISD,Fort Worth,21.1,26,2016,496,1141,43,2.3,139,784,18,1044,61,317675
BURLESON ISD,Fort Worth,21.5,25,2017,456,1144,46,2.5,145,853,17,1066,55,322091
CARROLL ISD,Fort Worth,25.7,82,2011,491,1240,84,2.5,130,565,23,1219,93,732585
CARROLL ISD,Fort Worth,26.1,77,2012,526,1362,84,2.6,172,669,26,1234,84,714518
CARROLL ISD,Fort Worth,26,79,2013,524,1345,86,2.6,144,589,24,1239,78,724355
CARROLL ISD,Fort Worth,26.6,81,2014,633,1709,84,2.7,179,620,29,1244,82,725097
CARROLL ISD,Fort Worth,26.6,85,2015,685,1881,80,2.7,188,661,28,1257,74,747542
CARROLL ISD,Fort Worth,26.8,84,2016,694,2031,83,2.9,175,617,28,1256,76,776489
CARROLL ISD,Fort Worth,27.1,85,2017,771,2123,83,2.8,188,664,28,1261,70,803421
CARROLLTON-FARMERS BRANCH ISD,Richardson,21.6,28,2011,939,1871,53,2.0,318,1568,20,1083,63,555508
CARROLLTON-FARMERS BRANCH ISD,Richardson,21.8,27,2012,937,1988,53,2.1,281,1617,17,1082,60,524292
CARROLLTON-FARMERS BRANCH ISD,Richardson,20.6,26,2013,1026,2162,48,2.1,285,1671,17,1068,57,520350
CARROLLTON-FARMERS BRANCH ISD,Richardson,21,25,2014,995,2234,49,2.2,326,1641,20,1084,57,528929
CARROLLTON-FARMERS BRANCH ISD,Richardson,21.1,24,2015,967.5,2250,42,2.3,303,1650,18,1063,58,553416
CARROLLTON-FARMERS BRANCH ISD,Richardson,20.4,26,2016,1035,2047.5,42,2.0,276,1608,17,1048,56,587818
CARROLLTON-FARMERS BRANCH ISD,Richardson,20.8,28,2017,877.5,1957.5,49,2.2,321,1597,20,1058,57,651220
CASTLEBERRY ISD,Fort Worth,19.6,15,2011,94,184,16,2.0,35,172,20,983,61,144198
CASTLEBERRY ISD,Fort Worth,19.8,9,2012,86,154,12,1.8,23,164,14,1015,45,126550
CASTLEBERRY ISD,Fort Worth,19.6,5,2013,64,92,19,1.4,19,174,11,984,41,124494
CASTLEBERRY ISD,Fort Worth,17.6,5,2014,71,114,15,1.6,23,187,12,946,46,123049
CASTLEBERRY ISD,Fort Worth,19,7,2015,83,127,10,1.5,23,188,12,969,38,121183
CASTLEBERRY ISD,Fort Worth,17.8,12,2016,93,153,5,1.6,28,200,14,932,49,119204
CASTLEBERRY ISD,Fort Worth,17.5,6,2017,142,236,4,1.7,14,214,7,950,44,118337
CELINA ISD,Richardson,22.6,97,2011,85,152,32,1.8,28,115,24,1105,43,347996
CELINA ISD,Richardson,22.8,86,2012,82,138,59,1.7,24,145,17,1157,23,331019
CELINA ISD,Richardson,22.2,75,2013,74,128,55,1.7,36,148,24,1090,12,330339
CELINA ISD,Richardson,21.9,69,2014,77,107,47,1.4,25,134,19,1097,22,330842
CELINA ISD,Richardson,21.7,70,2015,88,112,38,1.3,25,152,16,1153,10,329084
CELINA ISD,Richardson,22.2,70,2016,92,118,50,1.3,31,173,18,1139,17,328523
CELINA ISD,Richardson,22.7,70,2017,109,146,59,1.3,42,163,26,1170,22,363462
CHANNELVIEW ISD,Houston,17,11,2011,159,278,41,1.7,53,491,11,983,42,286616
CHANNELVIEW ISD,Houston,17.8,20,2012,257,478,26,1.9,62,498,12,951,47,277548
CHANNELVIEW ISD,Houston,17.7,20,2013,288,616,22,2.1,59,481,12,977,42,271648
CHANNELVIEW ISD,Houston,17.3,23,2014,320,608,19,1.9,62,486,13,965,51,282106
CHANNELVIEW ISD,Houston,17.7,24,2015,276,539,23,2.0,86,498,17,983,51,303255
CHANNELVIEW ISD,Houston,18.1,23,2016,325,681,22,2.1,75,554,14,959,54,305450
CHANNELVIEW ISD,Houston,18.6,19,2017,295,574,21,1.9,69,609,11,977,51,304688
CLEAR CREEK ISD,Houston,23.5,31,2011,1504,3264,70,2.2,800,2671,30,1148,75,421864
CLEAR CREEK ISD,Houston,23.5,32,2012,1532,3264,71,2.1,737,2700,27,1146,71,412053
CLEAR CREEK ISD,Houston,23.6,32,2013,1634,3633,67,2.2,746,2797,27,1147,67,417074
CLEAR CREEK ISD,Houston,24.1,36,2014,1695,3831,72,2.3,875,2748,32,1149,68,417580
CLEAR CREEK ISD,Houston,23.5,37,2015,1665,3753,69,2.3,887,2981,30,1146,68,427252
CLEAR CREEK ISD,Houston,23.4,39,2016,1815,4188,66,2.3,823,2914,28,1140,63,443525
CLEAR CREEK ISD,Houston,23.7,35,2017,1767,4435,66,2.5,947,3018,31,1138,65,476015
CLEBURNE ISD,Fort Worth,22.2,18,2011,94,120,36,1.3,55,389,14,1063,41,529519
CLEBURNE ISD,Fort Worth,22.3,14,2012,113,166,32,1.5,76,418,18,1050,44,474731
CLEBURNE ISD,Fort Worth,21,15,2013,99,193,36,1.9,62,405,15,1025,44,472298
CLEBURNE ISD,Fort Worth,21.7,15,2014,165,340,34,2.1,71,394,18,1037,48,459469
CLEBURNE ISD,Fort Worth,20.5,18,2015,165,367,37,2.2,52,361,14,1024,45,435558
CLEBURNE ISD,Fort Worth,19.6,11,2016,169,351,34,2.1,63,437,14,1011,40,405497
CLEBURNE ISD,Fort Worth,20.2,12,2017,175,351,35,2.0,47,396,12,1009,43,412297
COMAL ISD,Austin,22.1,29,2011,583,1235,47,2.1,336,1159,29,1068,77,632631
COMAL ISD,Austin,22,30,2012,662,1399,42,2.1,295,1116,26,1073,67,601831
COMAL ISD,Austin,22.3,34,2013,696,1603,45,2.3,323,1232,26,1086,65,569987
COMAL ISD,Austin,22.2,28,2014,867,1965,44,2.3,379,1263,30,1082,64,565606
COMAL ISD,Austin,22.4,29,2015,891,2111,41,2.4,369,1380,27,1079,65,576218
COMAL ISD,Austin,22.1,28,2016,905,2091,49,2.3,369,1406,26,1077,63,607061
COMAL ISD,San Antonio,22.6,36,2017,946,2035,52,2.2,372,1490,25,1062,84,639769
COPPELL ISD,Richardson,25.2,64,2011,539,1062,71,2.0,249,727,34,1213,88,752664
COPPELL ISD,Richardson,25.1,66,2012,623,1326,73,2.1,208,778,27,1226,84,690284
COPPELL ISD,Richardson,25.2,64,2013,715,1686,69,2.4,252,781,32,1209,89,664460
COPPELL ISD,Richardson,25.2,62,2014,675,1737,65,2.6,297,827,36,1224,87,676785
COPPELL ISD,Richardson,23.6,99,2015,771,2037,78,2.6,299,853,35,1221,75,705142
COPPELL ISD,Richardson,24.4,97,2016,720,1987,82,2.8,262,896,29,1226,74,733972
COPPELL ISD,Richardson,25.1,97,2017,787.5,2183,80,2.8,312,895,35,1249,68,771171
CROSBY ISD,Houston,18.6,32,2011,104,206,41,2.0,54,321,17,1044,46,260603
CROSBY ISD,Houston,19.4,29,2012,101,184,38,1.8,45,315,14,1047,35,272000
CROSBY ISD,Houston,19.4,25,2013,84,170,44,2.0,50,335,15,1065,36,263186
CROSBY ISD,Houston,18.8,25,2014,65,126,49,1.9,46,307,15,1037,37,254001
CROSBY ISD,Houston,18.6,24,2015,95,182,28,1.9,53,321,17,1027,40,249983
CROSBY ISD,Houston,20.1,20,2016,95,186,38,2.0,61,399,15,1009,42,276356
CROSBY ISD,Houston,20.1,14,2017,107,190,48,1.8,69,356,19,958,89,289761
CROWLEY ISD,Fort Worth,20.2,25,2011,283,586,49,2.1,181,905,20,1010,70,356715
CROWLEY ISD,Fort Worth,19.9,23,2012,290,528,46,1.8,190,910,21,1011,66,332041
CROWLEY ISD,Fort Worth,19,23,2013,291,564,45,1.9,195,994,20,996,63,342343
CROWLEY ISD,Fort Worth,18.6,28,2014,524,1029,31,2.0,198,885,22,985,60,340057
CROWLEY ISD,Fort Worth,19.3,26,2015,499,1106,33,2.2,170,1003,17,975,56,347124
CROWLEY ISD,Fort Worth,19,27,2016,441,1139,34,2.6,207,1020,20,977,54,348992
CROWLEY ISD,Fort Worth,18.3,26,2017,427,947,27,2.2,156,1027,15,960,58,355396
CYPRESS-FAIRBANKS ISD,Houston,21.5,28,2011,2735,6181,60,2.3,1481,6310,23,1097,66,348189
CYPRESS-FAIRBANKS ISD,Houston,21.6,28,2012,2427,5342,66,2.2,1397,6419,22,1094,62,333118
CYPRESS-FAIRBANKS ISD,Houston,21.9,28,2013,2620,5896,64,2.3,1515,6982,22,1103,60,331245
CYPRESS-FAIRBANKS ISD,Houston,21.9,31,2014,2738,5907,64,2.2,1696,7161,24,1103,60,338826
CYPRESS-FAIRBANKS ISD,Houston,22.1,35,2015,3243,7100,61,2.2,1637,7479,22,1086,59,361435
CYPRESS-FAIRBANKS ISD,Houston,19.2,95,2016,3543,7869,61,2.2,1776,7804,23,1084,54,390500
CYPRESS-FAIRBANKS ISD,Houston,19.5,93,2017,3830,8451,61,2.2,1727,8072,21,1097,54,439280
DALLAS ISD,Richardson,17.1,45,2011,5619,13532,22,2.4,1118,7267,15,946,66,546939
DALLAS ISD,Richardson,17.2,43,2012,5569,12825,25,2.3,1247,7275,17,947,65,513227
DALLAS ISD,Richardson,17.1,42,2013,5515,13727,24,2.5,1214,7706,16,932,65,503354
DALLAS ISD,Richardson,17.1,46,2014,6030,17013,25,2.8,1222,7410,16,943,65,511155
DALLAS ISD,Richardson,16.1,88,2015,6648,17417,24,2.6,1253,7505,17,885,100,533092
DALLAS ISD,Richardson,16.3,90,2016,6097.5,16910,25,2.8,1264,7774,16,877,100,568872
DALLAS ISD,Richardson,16.8,92,2017,6933,17825,25,2.6,1446,7685,19,921,98,628461
DAYTON ISD,Houston,19.7,13,2011,64,122,30,1.9,38,300,13,1010,46,289938
DAYTON ISD,Houston,18.7,8,2012,38,66,41,1.7,38,348,11,1000,38,287850
DAYTON ISD,Houston,19.5,8,2013,41,81,35,2.0,36,336,11,1012,34,306917
DAYTON ISD,Houston,18.3,9,2014,47,75,25,1.6,37,314,12,1016,39,307752
DAYTON ISD,Houston,18.7,13,2015,64,106,22,1.7,40,319,13,998,35,298671
DAYTON ISD,Houston,19.9,5,2016,65,105,27,1.6,40,304,13,987,40,301054
DAYTON ISD,Houston,19.6,12,2017,77,139,37,1.8,47,364,13,1001,39,325055
DECATUR ISD,Fort Worth,21.1,64,2011,47,91,59,1.9,50,209,24,1071,42,770679
DECATUR ISD,Fort Worth,21.1,62,2012,37,87,72,2.4,33,205,16,1071,26,805956
DECATUR ISD,Fort Worth,21.3,43,2013,50,100,48,2.0,33,186,18,1079,34,774948
DECATUR ISD,Fort Worth,21.8,49,2014,67,124,43,1.9,32,203,16,1065,25,811515
DECATUR ISD,Fort Worth,22.1,40,2015,82,158,42,1.9,39,200,20,1058,26,791631
DECATUR ISD,Fort Worth,20.7,55,2016,110,219,28,2.0,47,188,25,1053,37,775684
DECATUR ISD,Fort Worth,20.6,61,2017,114,228,31,2.0,52,200,26,1036,39,748713
DEER PARK ISD,Houston,21.8,16,2011,240,445,46,1.9,136,864,16,1080,45,615668
DEER PARK ISD,Houston,21.6,17,2012,219,417,54,1.9,118,855,14,1078,47,566381
DEER PARK ISD,Houston,22,13,2013,328,516,43,1.6,129,855,15,1073,46,587969
DEER PARK ISD,Houston,20.8,17,2014,268,522,48,1.9,120,928,13,1069,47,557202
DEER PARK ISD,Houston,20.9,12,2015,400,895,34,2.2,111,904,12,1052,42,591623
DEER PARK ISD,Houston,21.3,15,2016,436,996,30,2.3,147,991,15,1049,50,618557
DEER PARK ISD,Houston,21.8,14,2017,392,829,40,2.1,145,927,16,1065,47,627933
DEL VALLE ISD,Austin,18.7,32,2011,334,602,24,1.8,81,612,13,953,49,324622
DEL VALLE ISD,Austin,17.4,47,2012,307,534,27,1.7,89,616,14,957,30,286558
DEL VALLE ISD,Austin,17.8,41,2013,348,600,19,1.7,74,611,12,951,36,280218
DEL VALLE ISD,Austin,17.6,45,2014,379,658,28,1.7,66,586,11,923,37,281184
DEL VALLE ISD,Austin,18.2,39,2015,383,824,23,2.2,89,627,14,956,43,310976
DEL VALLE ISD,Austin,18.3,29,2016,368,829,29,2.3,73,691,11,925,41,343664
DEL VALLE ISD,Austin,18.2,20,2017,430,933,19,2.2,89,632,14,868,85,399519
DENISON ISD,Richardson,21.3,42,2011,123,289,50,2.3,32,319,10,1110,30,290422
DENISON ISD,Richardson,21.7,44,2012,119,291,53,2.4,21,290,7,1077,28,320449
DENISON ISD,Richardson,21.7,41,2013,101,268,50,2.7,32,282,11,1078,37,317733
DENISON ISD,Richardson,21.5,30,2014,117,269,45,2.3,26,282,9,1091,21,320630
DENISON ISD,Richardson,22.2,34,2015,107,275,38,2.6,32,283,11,1112,27,316385
DENISON ISD,Richardson,20.7,34,2016,92,214,39,2.3,18,311,6,1057,15,304464
DENISON ISD,Richardson,20.8,38,2017,114,283,44,2.5,32,263,12,1074,28,332858
DENTON ISD,Fort Worth,21.2,38,2011,725,1557,40,2.1,260,1259,21,1075,58,419495
DENTON ISD,Fort Worth,20.7,30,2012,565,1269,48,2.2,280,1229,23,1073,55,399725
DENTON ISD,Fort Worth,21,31,2013,607,1272,48,2.1,292,1364,21,1073,53,398843
DENTON ISD,Fort Worth,21.1,35,2014,690,1493,47,2.2,320,1510,21,1072,56,405428
DENTON ISD,Fort Worth,21.5,38,2015,783,1462.5,41,1.9,290,1549,19,1072,51,418638
DENTON ISD,Fort Worth,21.6,38,2016,741,1327.5,49,1.8,296,1543,19,1066,55,446278
DENTON ISD,Fort Worth,21.6,35,2017,834,1773,48,2.1,270,1657,16,1078,55,473130
DESOTO ISD,Richardson,17.1,47,2011,241,426,10,1.8,148,524,28,932,74,253800
DESOTO ISD,Richardson,18,44,2012,200,357,13,1.8,168,603,28,950,57,247712
DESOTO ISD,Richardson,17.2,35,2013,115,189,12,1.6,131,563,23,933,57,245050
DESOTO ISD,Richardson,17,35,2014,101,175,20,1.7,156,711,22,921,56,229265
DESOTO ISD,Richardson,16.6,39,2015,142,238,18,1.7,152,678,22,899,59,227379
DESOTO ISD,Richardson,17.1,44,2016,224,344,14,1.5,167,657,25,892,58,224633
DESOTO ISD,Richardson,17.8,34,2017,249,460,8,1.8,198,733,27,885,92,244138
DICKINSON ISD,Houston,19.2,11,2011,70,142,29,2.0,65,509,13,1010,42,279136
DICKINSON ISD,Houston,18.6,15,2012,87,141,23,1.6,85,556,15,1005,40,271853
DICKINSON ISD,Houston,20.4,10,2013,123,238,22,1.9,81,557,15,1019,37,267707
DICKINSON ISD,Houston,18.7,17,2014,221,428,27,1.9,86,544,16,1004,47,268982
DICKINSON ISD,Houston,20,25,2015,161,346,34,2.1,95,568,17,1018,48,281883
DICKINSON ISD,Houston,19.2,13,2016,189,369,41,2.0,94,597,16,993,46,278014
DICKINSON ISD,Houston,20.5,11,2017,167,326,41,2.0,107,638,17,965,81,302411
DRIPPING SPRINGS ISD,Austin,25.5,44,2011,234,579,70,2.5,104,288,36,1208,85,597087
DRIPPING SPRINGS ISD,Austin,24.6,44,2012,265,618,74,2.3,99,279,35,1168,86,576515
DRIPPING SPRINGS ISD,Austin,25.4,48,2013,225,498,76,2.2,97,321,30,1197,78,573734
DRIPPING SPRINGS ISD,Austin,24.3,46,2014,208,466,78,2.2,109,334,33,1169,76,549429
